"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.Team.ID","GJP.User.ID"
12370,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","buy",40,50,"10/29/14 16:42",20,1,22025
12372,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",45,20,"10/29/14 16:43",0,1,22025
12388,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","buy",30,100,"10/29/14 17:02",0,10,24171
12433,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Hirokazu Nakaima","buy",10,100,"10/29/14 19:04",0,26,21954
12434,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",10,100,"10/29/14 19:06",0,26,21954
12435,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","buy",10,100,"10/29/14 19:07",0,26,21954
12436,"1462 - **Before 10 June 2015, will Iraq's parliament approve the creation of an Iraqi National Guard?","Yes","buy",10,199,"10/29/14 19:11",0,26,21954
12459,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Hirokazu Nakaima","buy",40,50,"10/29/14 19:53",0,20,22074
12464,"1459 - Will Goodluck Jonathan **vacate the office of President of Nigeria **before 10 June 2015?","Yes","buy",20,100,"10/29/14 20:03",15,20,22074
12489,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",70,300,"10/29/14 20:20",0,23,9191
12490,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",60,200,"10/29/14 20:21",200,23,9191
12491,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",60,20,"10/29/14 20:24",0,19,24175
12492,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",10,10,"10/29/14 20:24",10,13,22096
12493,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",50,30,"10/29/14 20:25",0,19,24175
12494,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",40,40,"10/29/14 20:26",0,19,24175
12495,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",30,100,"10/29/14 20:26",0,19,24175
12498,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",10,10,"10/29/14 20:39",10,13,22096
12507,"1462 - **Before 10 June 2015, will Iraq's parliament approve the creation of an Iraqi National Guard?","Yes","buy",50,50,"10/29/14 20:45",0,20,22074
12517,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Takeshi Onaga","buy",55,15,"10/29/14 21:00",0,13,22096
